"COMPU-CELL Store"
Product, Quantity, Wholesale Price (Per Unit), Unit Price (Per Unit), Total Wholesale Cost, Total Unit Cost
Samsung Galaxy S20, 100, $500, $550, $50,000, $55,000
Dell Inspiron 15, 50, $800, $850, $40,000, $42,500
Apple AirPods Pro, 200, $150, $170, $30,000, $34,000
LG OLED 4K, 150, $1000, $1100, $150,000, $165,000
PlayStation 5, 75, $450, $500, $33,750, $37,500
Canon EOS Rebel T7i, 300, $600, $650, $180,000, $195,000
Fitbit Versa 3, 50, $150, $170, $7,500, $8,500
Apple iPad Air, 100, $400, $450, $40,000, $45,000
JBL Charge 4, 200, $80, $90, $16,000, $18,000
DJI Mavic Air 2, 50, $900, $1000, $45,000, $50,000
"COMPU-CELL Store"
iPhone 12 Pro, 150, $700, $750, $105,000, $112,500
HP Pavilion x360, 100, $750, $800, $75,000, $80,000
Sony WH-1000XM4, 250, $200, $220, $50,000, $55,000
Samsung QLED 8K, 100, $1200, $1300, $120,000, $130,000
Xbox Series X, 50, $450, $500, $22,500, $25,000
Nikon D850, 200, $1200, $1300, $240,000, $260,000
Samsung Galaxy Watch 3, 100, $250, $280, $25,000, $28,000
Microsoft Surface Pro 7, 150, $600, $650, $90,000, $97,500
Bose SoundLink Revolve+, 300, $100, $110, $30,000, $33,000
GoPro Karma, 75, $350, $380, $26,250, $28,500
"COMPU-CELL Store"
Xiaomi Mi 11, 200, $600, $650, $120,000, $130,000
Lenovo ThinkPad X1 Carbon, 75, $900, $950, $67,500, $71,250
Jabra Elite 85t, 150, $100, $110, $15,000, $16,500
Sony Bravia OLED 4K, 100, $1100, $1200, $110,000, $120,000
Nintendo Switch, 300, $300, $330, $90,000, $99,000
Sony Alpha A7 III, 50, $1400, $1500, $70,000, $75,000
Garmin Fenix 6, 100, $300, $330, $30,000, $33,000
Samsung Galaxy Tab S7, 200, $500, $550, $100,000, $110,000
Sonos Move, 75, $250, $280, $18,750, $21,000
Parrot Anafi, 150, $400, $450, $60,000, $67,500
Total Inventory Value, , , , $5,235,000, $5,622,750
